"GEO","TIME","CURRENCY","PROD_ANI","Value"
"Luxembourg","2008","Euro","Calves - prices per 100 kg live weight","338.70"
"Hungary","2008","Euro","Calves - prices per 100 kg live weight","181.68"
"Malta","2008","Euro","Calves - prices per 100 kg live weight","283.67"
"Netherlands","2008","Euro","Calves - prices per 100 kg live weight","236.30"
"Austria","2008","Euro","Calves - prices per 100 kg live weight","303.23"
"Poland","2008","Euro","Calves - prices per 100 kg live weight","216.41"
"Portugal","2008","Euro","Calves - prices per 100 kg live weight","269.14"
"Romania","2008","Euro","Calves - prices per 100 kg live weight","100.61"
"Slovenia","2008","Euro","Calves - prices per 100 kg live weight","228.23"
"Slovakia","2008","Euro","Calves - prices per 100 kg live weight","183.74"
"Finland","2008","Euro","Calves - prices per 100 kg live weight",":"
"Sweden","2008","Euro","Calves - prices per 100 kg live weight",":"
"United Kingdom","2008","Euro","Calves - prices per 100 kg live weight",":"
"Kosovo (under United Nations Security Council Resolution 1244/99)","2008","Euro","Calves - prices per 100 kg live weight",":"
"Belgium","2009","Euro","Calves - prices per 100 kg live weight","152.56"
"Bulgaria","2009","Euro","Calves - prices per 100 kg live weight","117.05"
"Czechia","2009","Euro","Calves - prices per 100 kg live weight","207.58"
"Denmark","2009","Euro","Calves - prices per 100 kg live weight",":"
"Germany (until 1990 former territory of the FRG)","2009","Euro","Calves - prices per 100 kg live weight",":"
"Estonia","2009","Euro","Calves - prices per 100 kg live weight",":"
"Ireland","2009","Euro","Calves - prices per 100 kg live weight",":"
"Greece","2009","Euro","Calves - prices per 100 kg live weight","239.56"
"Spain","2009","Euro","Calves - prices per 100 kg live weight","200.69"
"France","2009","Euro","Calves - prices per 100 kg live weight",":"
"Croatia","2009","Euro","Calves - prices per 100 kg live weight",":"
"Italy","2009","Euro","Calves - prices per 100 kg live weight","284.68"
"Cyprus","2009","Euro","Calves - prices per 100 kg live weight","298.15"
"Latvia","2009","Euro","Calves - prices per 100 kg live weight","86.88"
"Lithuania","2009","Euro","Calves - prices per 100 kg live weight","124.89"
"Luxembourg","2009","Euro","Calves - prices per 100 kg live weight","351.6"
"Hungary","2009","Euro","Calves - prices per 100 kg live weight","182.32"
"Malta","2009","Euro","Calves - prices per 100 kg live weight",":"
"Netherlands","2009","Euro","Calves - prices per 100 kg live weight","236.30"
"Austria","2009","Euro","Calves - prices per 100 kg live weight","294.23"
"Poland","2009","Euro","Calves - prices per 100 kg live weight","212.76"
"Portugal","2009","Euro","Calves - prices per 100 kg live weight","256.74"
"Romania","2009","Euro","Calves - prices per 100 kg live weight","115.57"
"Slovenia","2009","Euro","Calves - prices per 100 kg live weight","222.93"
"Slovakia","2009","Euro","Calves - prices per 100 kg live weight","200.00"
"Finland","2009","Euro","Calves - prices per 100 kg live weight",":"
"Sweden","2009","Euro","Calves - prices per 100 kg live weight",":"
"United Kingdom","2009","Euro","Calves - prices per 100 kg live weight",":"
"Kosovo (under United Nations Security Council Resolution 1244/99)","2009","Euro","Calves - prices per 100 kg live weight",":"
"Belgium","2010","Euro","Calves - prices per 100 kg live weight","126.53"
"Bulgaria","2010","Euro","Calves - prices per 100 kg live weight","118.14"
"Czechia","2010","Euro","Calves - prices per 100 kg live weight","229.80"
"Denmark","2010","Euro","Calves - prices per 100 kg live weight",":"
"Germany (until 1990 former territory of the FRG)","2010","Euro","Calves - prices per 100 kg live weight",":"
"Estonia","2010","Euro","Calves - prices per 100 kg live weight",":"
"Ireland","2010","Euro","Calves - prices per 100 kg live weight",":"
"Greece","2010","Euro","Calves - prices per 100 kg live weight","244.63"
"Spain","2010","Euro","Calves - prices per 100 kg live weight","194.84"
"France","2010","Euro","Calves - prices per 100 kg live weight","320.00"
"Croatia","2010","Euro","Calves - prices per 100 kg live weight",":"
"Italy","2010","Euro","Calves - prices per 100 kg live weight","281.21"
"Cyprus","2010","Euro","Calves - prices per 100 kg live weight","339.00"
"Latvia","2010","Euro","Calves - prices per 100 kg live weight","82.5"
"Lithuania","2010","Euro","Calves - prices per 100 kg live weight","132.58"
"Luxembourg","2010","Euro","Calves - prices per 100 kg live weight","361.7"
"Hungary","2010","Euro","Calves - prices per 100 kg live weight","199.52"
"Malta","2010","Euro","Calves - prices per 100 kg live weight","159.42"
"Netherlands","2010","Euro","Calves - prices per 100 kg live weight","247.50"
"Austria","2010","Euro","Calves - prices per 100 kg live weight","302.03"
"Poland","2010","Euro","Calves - prices per 100 kg live weight","220.89"
"Portugal","2010","Euro","Calves - prices per 100 kg live weight","193.52"
"Romania","2010","Euro","Calves - prices per 100 kg live weight","121.31"
"Slovenia","2010","Euro","Calves - prices per 100 kg live weight","218.23"
"Slovakia","2010","Euro","Calves - prices per 100 kg live weight","214.00"
"Finland","2010","Euro","Calves - prices per 100 kg live weight",":"
"Sweden","2010","Euro","Calves - prices per 100 kg live weight",":"
"United Kingdom","2010","Euro","Calves - prices per 100 kg live weight",":"
"Kosovo (under United Nations Security Council Resolution 1244/99)","2010","Euro","Calves - prices per 100 kg live weight",":"
"Belgium","2011","Euro","Calves - prices per 100 kg live weight","143.99"
"Bulgaria","2011","Euro","Calves - prices per 100 kg live weight","128.47"
"Czechia","2011","Euro","Calves - prices per 100 kg live weight","235.40"
"Denmark","2011","Euro","Calves - prices per 100 kg live weight",":"
"Germany (until 1990 former territory of the FRG)","2011","Euro","Calves - prices per 100 kg live weight",":"
"Estonia","2011","Euro","Calves - prices per 100 kg live weight",":"
"Ireland","2011","Euro","Calves - prices per 100 kg live weight",":"
"Greece","2011","Euro","Calves - prices per 100 kg live weight","255.22"
"Spain","2011","Euro","Calves - prices per 100 kg live weight","207.48"
"France","2011","Euro","Calves - prices per 100 kg live weight","351.20"
"Croatia","2011","Euro","Calves - prices per 100 kg live weight","280.82"
"Italy","2011","Euro","Calves - prices per 100 kg live weight","287.97"
"Cyprus","2011","Euro","Calves - prices per 100 kg live weight","342.40"
"Latvia","2011","Euro","Calves - prices per 100 kg live weight","95.53"
"Lithuania","2011","Euro","Calves - prices per 100 kg live weight","194.91"
"Luxembourg","2011","Euro","Calves - prices per 100 kg live weight","359.3"
"Hungary","2011","Euro","Calves - prices per 100 kg live weight","278.89"
"Malta","2011","Euro","Calves - prices per 100 kg live weight","188.78"
"Netherlands","2011","Euro","Calves - prices per 100 kg live weight","279.00"
"Austria","2011","Euro","Calves - prices per 100 kg live weight","324.83"
"Poland","2011","Euro","Calves - prices per 100 kg live weight","216.49"
"Portugal","2011","Euro","Calves - prices per 100 kg live weight","195.72"
"Romania","2011","Euro","Calves - prices per 100 kg live weight","127.39"
"Slovenia","2011","Euro","Calves - prices per 100 kg live weight","219.36"
"Slovakia","2011","Euro","Calves - prices per 100 kg live weight","219.00"
"Finland","2011","Euro","Calves - prices per 100 kg live weight",":"
"Sweden","2011","Euro","Calves - prices per 100 kg live weight",":"
"United Kingdom","2011","Euro","Calves - prices per 100 kg live weight",":"
"Kosovo (under United Nations Security Council Resolution 1244/99)","2011","Euro","Calves - prices per 100 kg live weight",":"
"Belgium","2012","Euro","Calves - prices per 100 kg live weight","180.73"
"Bulgaria","2012","Euro","Calves - prices per 100 kg live weight","137.8"
"Czechia","2012","Euro","Calves - prices per 100 kg live weight","243.63"
"Denmark","2012","Euro","Calves - prices per 100 kg live weight",":"
"Germany (until 1990 former territory of the FRG)","2012","Euro","Calves - prices per 100 kg live weight",":"
"Estonia","2012","Euro","Calves - prices per 100 kg live weight",":"
"Ireland","2012","Euro","Calves - prices per 100 kg live weight",":"
"Greece","2012","Euro","Calves - prices per 100 kg live weight","260.11"
"Spain","2012","Euro","Calves - prices per 100 kg live weight","228.07"
"France","2012","Euro","Calves - prices per 100 kg live weight","347.39"
"Croatia","2012","Euro","Calves - prices per 100 kg live weight","287.7"
"Italy","2012","Euro","Calves - prices per 100 kg live weight","288.4"
"Cyprus","2012","Euro","Calves - prices per 100 kg live weight","350.00"
"Latvia","2012","Euro","Calves - prices per 100 kg live weight","111.43"
"Lithuania","2012","Euro","Calves - prices per 100 kg live weight","167.47"
"Luxembourg","2012","Euro","Calves - prices per 100 kg live weight","355.8"
"Hungary","2012","Euro","Calves - prices per 100 kg live weight","295.06"
"Malta","2012","Euro","Calves - prices per 100 kg live weight","322.81"
"Netherlands","2012","Euro","Calves - prices per 100 kg live weight","276"
"Austria","2012","Euro","Calves - prices per 100 kg live weight","341"
"Poland","2012","Euro","Calves - prices per 100 kg live weight","251.93"
"Portugal","2012","Euro","Calves - prices per 100 kg live weight","202.66"
"Romania","2012","Euro","Calves - prices per 100 kg live weight","130.51"
"Slovenia","2012","Euro","Calves - prices per 100 kg live weight","226.85"
"Slovakia","2012","Euro","Calves - prices per 100 kg live weight","244"
"Finland","2012","Euro","Calves - prices per 100 kg live weight",":"
"Sweden","2012","Euro","Calves - prices per 100 kg live weight",":"
"United Kingdom","2012","Euro","Calves - prices per 100 kg live weight",":"
"Kosovo (under United Nations Security Council Resolution 1244/99)","2012","Euro","Calves - prices per 100 kg live weight",":"
"Belgium","2013","Euro","Calves - prices per 100 kg live weight","182.09"
"Bulgaria","2013","Euro","Calves - prices per 100 kg live weight","134.58"
"Czechia","2013","Euro","Calves - prices per 100 kg live weight","211.12"
"Denmark","2013","Euro","Calves - prices per 100 kg live weight",":"
"Germany (until 1990 former territory of the FRG)","2013","Euro","Calves - prices per 100 kg live weight",":"
"Estonia","2013","Euro","Calves - prices per 100 kg live weight",":"
"Ireland","2013","Euro","Calves - prices per 100 kg live weight",":"
"Greece","2013","Euro","Calves - prices per 100 kg live weight","258.38"
"Spain","2013","Euro","Calves - prices per 100 kg live weight","231.14"
"France","2013","Euro","Calves - prices per 100 kg live weight","352.77"
"Croatia","2013","Euro","Calves - prices per 100 kg live weight","267.2"
"Italy","2013","Euro","Calves - prices per 100 kg live weight","278.81"
"Cyprus","2013","Euro","Calves - prices per 100 kg live weight","350.00"
"Latvia","2013","Euro","Calves - prices per 100 kg live weight","110.47"
"Lithuania","2013","Euro","Calves - prices per 100 kg live weight","174.06"
"Luxembourg","2013","Euro","Calves - prices per 100 kg live weight","372.9"
"Hungary","2013","Euro","Calves - prices per 100 kg live weight","169.88"
"Malta","2013","Euro","Calves - prices per 100 kg live weight","321.81"
"Netherlands","2013","Euro","Calves - prices per 100 kg live weight","288"
"Austria","2013","Euro","Calves - prices per 100 kg live weight","351.83"
"Poland","2013","Euro","Calves - prices per 100 kg live weight","231.23"
"Portugal","2013","Euro","Calves - prices per 100 kg live weight","209.53"
"Romania","2013","Euro","Calves - prices per 100 kg live weight","140.98"
"Slovenia","2013","Euro","Calves - prices per 100 kg live weight","233.47"
